nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
lcl|Zmarina_Zosma100g00100.1,531.4999999999997,325.76283912148125,2962.4349003408192,0.5215007244325145,0.25964252116651004,6.831767179042388,548.2620267718712,548.9253809488854,74.21165284511002,131.96148082222544,325.76283912148125,764.6833144949496,2961.913399616387,301319.073849879,632.7218336727242,316.3609168363621,1.031537209354415,1.1257600426381045,0.25606906197107054,0
lcl|Zmarina_Zosma101g00060.1,815.4999999999995,554.9028493233329,6096.401811457862,2.45700883080176,0.22481095442468846,7.367461341743499,887.1399269562836,887.9475192281698,88.78067588529719,218.32388836697544,554.9028493233329,1118.6244930732303,6093.94480262706,788450.796903461,900.3006047062548,450.1503023531274,1.08784785647613,0.8812493139749361,0.25947402034365075,0
lcl|Zmarina_Zosma101g00070.1,1054.4999999999995,713.9661396723424,10000.0,1.547090290286153,0.23075707286233613,8.446343623973942,1098.6656679809378,1099.41895272352,180.78014088552567,314.8822516189361,713.9661396723424,1415.1671005681276,9998.452909709715,1208722.0336076817,1100.2848489491914,550.1424244745957,1.0418830421820182,0.9298566531713055,0.2501954578506543,0
lcl|Zmarina_Zosma101g00100.1,703.4999999999997,462.257481093004,4952.85760601852,1.547968881900548,0.21890547263681603,6.641385524769623,757.3277031774289,758.1486548582279,101.41392105413642,182.23434841079006,462.257481093004,959.0648351465194,4951.309637136619,574789.3828633404,776.8304867357293,388.41524336786466,1.0765141480844767,0.9556332796021196,0.25111357137579154,0
lcl|Zmarina_Zosma101g00360.1,317.75000000000006,194.84522977181066,1343.2395460031787,2.476168706208063,0.21715184893784417,4.38541898994214,299.6345691004294,300.36095700055836,49.57878940235466,67.17664368671925,194.84522977181066,494.77447695974456,1340.7633772969707,90216.70449029127,427.59783327302534,213.79891663651267,0.9429884157369924,1.2305466348276561,0.2894319752706848,0
lcl|Zmarina_Zosma101g00420.1,440.2500000000001,300.06341357991334,2429.6847826487397,2.0769829644068527,0.2248722316865417,5.276920400683236,418.6185614613857,419.32509118176387,79.96023791400393,142.8859072305375,300.06341357991334,621.5512304254942,2427.607799684333,175833.5320945946,478.66532319495667,239.33266159747834,0.9508655569821365,1.0046371517595827,0.28303959929653033,0
lcl|Zmarina_Zosma101g00530.1,694.9999999999998,475.1050596559674,5539.004416756375,0.575176963459452,0.22062350119904087,6.5550944886284706,768.7164626830883,769.5533888565844,147.35953556837597,229.89055735073828,475.1050596559674,887.4173793816738,5538.429239792915,592212.4183006535,657.5268220309355,328.76341101546774,1.1060668527814224,0.8581640345382577,0.22785797677115224,0
lcl|Zmarina_Zosma101g00580.1,431.2500000000003,235.60201593940673,8010.25,0.32381785880975344,0.2573913043478259,6.303261957233266,612.8986457808502,613.8209918945112,62.34281069123147,97.50421542568866,235.60201593940673,536.329677218875,8009.92618214119,376776.2100903615,438.8254617931863,219.41273089659316,1.4212142510860284,0.9576525518897133,0.2164365410026804,0
lcl|Zmarina_Zosma101g00650.1,940.5000000000002,621.8812639137152,7744.0,0.7698864454073256,0.2417153996101364,8.518877597500019,1052.887577094535,1053.6603387230368,125.4649692712556,223.79769774147547,621.8812639137152,1284.8016191060105,7743.230113554593,1110200.1093979445,1061.003921364535,530.5019606822675,1.1194976896273627,0.9078426121206218,0.2625921091993259,0
lcl|Zmarina_Zosma101g00680.1,475.2500000000005,342.5403884265656,4243.2134313549695,1.3605418616412235,0.2503945291951602,6.34995823349403,618.4959579496053,619.3640228791778,65.89619683853599,104.80729750694083,342.5403884265656,575.648810872411,4241.852889493328,383611.7928370787,470.8415133654702,235.4207566827351,1.3014117999991681,0.6437048287916929,0.22866323645582304,0
lcl|Zmarina_Zosma101g00720.1,748.5,491.644154853496,6157.521961485661,5.637382554784823,0.24315297261189045,7.638580062427537,838.1874790284091,838.9561059473981,103.04558702935431,187.22264027570625,491.644154853496,1061.9976390825348,6151.884578930877,703847.3477064219,874.7749988068285,437.38749940341427,1.1198229512737596,0.9193259917610804,0.255822399113955,0
lcl|Zmarina_Zosma102g00010.1,303.4999999999999,228.10361793722893,1997.6183341676604,6.2628727920486735,0.24382207578253715,4.797842618788917,309.16540880247254,309.86408858347096,50.436975836533364,81.41228672871122,228.10361793722893,447.77337620478926,1991.3554613756116,96015.75339366513,366.36108947607806,183.18054473803903,1.0186669153293992,0.7316120747933554,0.27428574609966805,0
lcl|Zmarina_Zosma102g00020.1,285.25,189.82250907079592,1107.2912743422187,2.25,0.24890446976336547,4.666443467974613,253.3007106188216,253.89741512205353,58.087692805615106,91.98245880265713,189.82250907079592,417.65966351076486,1105.0412743422187,64463.89740566038,325.67720470810775,162.83860235405388,0.887995479820584,1.1302079338356974,0.2651515058788117,0
lcl|Zmarina_Zosma102g00130.1,755.7499999999992,465.758051527572,12656.25,1.8233055177433255,0.21832616606020533,6.865434009576127,909.5817033120223,910.5018671318621,116.67606301065842,200.38812275294816,465.758051527572,972.2921833793961,12654.426694482258,829013.6500506072,771.904060626448,385.952030313224,1.2035484000159091,0.9564570639992807,0.21398727926425382,0
lcl|Zmarina_Zosma102g00190.1,489.2499999999996,305.8801132972854,7767.533694230727,3.1277797992069516,0.24322943280531445,6.2648092815016305,731.105498543131,732.1316120285074,73.75988382162444,133.8848078887127,305.8801132972854,586.252420155257,7764.40591443152,536016.6973314609,452.36761226654437,226.18380613327218,1.4943392918612808,0.7524354025572813,0.2397381461426174,0
lcl|Zmarina_Zosma102g00290.1,430.9999999999998,276.7047409192523,3364.0,1.648430554817088,0.2134570765661254,5.053616741353564,469.2941508265365,470.1466386332905,57.79782196855336,120.78575827147361,276.7047409192523,613.7137917092941,3362.351569445183,221037.86181818182,492.92803343782055,246.46401671891027,1.0888495378805958,0.9863446548971313,0.2678821200861449,0
lcl|Zmarina_Zosma103g00670.1,1057.750000000001,780.3158077295442,6912.43992896391,2.707750654499514,0.21901835657448968,8.05168927354202,1022.5910106195927,1023.3274824547918,144.15894827374967,297.12702072336447,780.3158077295442,1514.022392085415,6909.73217830941,1047199.1363472622,1216.8953713620506,608.4476856810253,0.9667605867356103,0.8139154052479634,0.26748653157755414,0
lcl|Zmarina_Zosma103g00750.1,338.99999999999994,203.92420024700994,1824.4989123479957,0.5027112012252497,0.27138643067846613,5.746072275560091,366.43826219432935,367.1039089958047,44.307088432299885,80.99639895627837,203.92420024700994,437.389801608821,1823.9962011467703,134765.28000000006,356.39340265254265,178.19670132627132,1.0809388265319453,1.1058544946490059,0.23252600724792166,0
lcl|Zmarina_Zosma103g00800.1,1025.2500000000005,725.6515963080548,8019.03997418341,2.5574485526282684,0.22270990815248304,8.014581387275571,1033.6864853523045,1034.4418281533926,178.87680756229759,334.6450299230324,725.6515963080548,1378.478193592588,8016.482525630781,1070069.8958333333,1043.8331636695557,521.9165818347778,1.008228710414342,0.8695046552432255,0.23790356034043414,0
lcl|Zmarina_Zosma103g00840.1,428.7500000000002,303.91590884909886,2704.05623697131,2.7658598958013507,0.22623906705539346,5.261448525300257,431.95731849339006,432.70143156605155,73.176899850068,125.16724756090115,303.91590884909886,570.3249177729089,2701.290377075509,187230.52887931038,445.1576702120077,222.57883510600385,1.0074806262236498,0.8669890691027494,0.23609629134935453,0
lcl|Zmarina_Zosma103g00870.1,437.74999999999983,300.89698200201315,1985.1831073849578,1.7936717989769173,0.23072529982866943,5.393541510766854,401.7696790450967,402.4343108956948,78.19966758639403,111.68369319127106,300.89698200201315,650.6833462612117,1983.389435585981,161953.37458609274,538.9996530699407,269.49982653497034,0.9178062342549329,1.0218766507461523,0.28507099749428894,0
lcl|Zmarina_Zosma1042g00010.1,318.25,167.8622325850054,3192.25,3.9757039143843,0.2356637863315004,4.938281867181999,400.0062499511726,400.8981267550576,37.446939591619696,57.96765383222833,167.8622325850054,453.80591831608444,3188.274296085616,160719.30803571423,395.8382644838561,197.91913224192805,1.2568931655967717,1.1278906324590072,0.27738140336455996,0
