nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
Zosma01g08430.1,2290.0000000000036,1604.08191690479,28396.0,2.871846903517127,0.23755458515283806,12.861298114184203,2535.7756209885756,2536.552870239316,376.2231859808578,664.0819056361563,1604.08191690479,3012.213402524372,28393.128153096484,6434100.4635193115,2348.131496888216,1174.065748444108,1.1073255986849657,0.8114890892765279,0.24150660103704719,1
Zosma03g30760.1,1705.2499999999989,1151.5363281935704,51756.249999999985,0.508881186229209,0.25274886380296163,11.909819128467023,2276.7355467862308,2277.616465970592,303.53785239595123,495.9280220107695,1151.5363281935704,2120.450610752893,51755.741118813756,5187536.766060368,1624.5225887421238,812.2612943710619,1.335132999141611,0.7296152676862715,0.2201521249869881,1
Zosma01g19980.1,867.9999999999991,573.8007014015229,6111.0,1.0157999921695249,0.2396313364055302,8.08348893497705,980.3300464639445,981.1165127328059,145.8024515487306,243.8969232113973,573.8007014015229,1054.4859804311996,6109.984200007831,962589.6115569819,810.5890572198023,405.29452860990114,1.1294124959262046,0.9003068904997491,0.21033789301115025,1
Zosma06g08240.1,1284.7500000000023,867.105882699509,112560.25,2.050815530731462,0.34325744308231115,14.184463077050307,3263.0399361638215,3264.2738329506587,198.99999999999997,343.60120857169863,867.105882699509,1724.1267793776192,112558.19918446927,10655483.656486385,1380.5255708059206,690.2627854029603,2.5398248189638575,0.3839770203286216,0.2580430711353221,1
Zosma03g07930.1,1141.9999999999993,704.3848397808297,73441.0,1.0,0.3362521891418566,13.107313099592858,2380.1161736352283,2381.1498832056295,188.8124693655771,313.1407275990307,704.3848397808297,1517.410914769376,73440.0,5669874.766290182,1204.2701871703453,602.1350935851726,2.0841647755124604,0.551588823772563,0.2493632566204377,1
Zosma05g18090.1,1362.5000000000002,912.1564381705489,17956.0,5.917593838869292,0.27449541284403667,11.633218035281027,1612.9997675139323,1613.7190539566009,202.78278229927176,345.87058083712634,912.1564381705489,1795.4715833868374,17950.08240616113,2604089.1851025866,1449.6010025497112,724.8005012748556,1.1838530403771979,0.837588890400559,0.2388118680731557,1
Zosma02g09000.1,779.0000000000001,511.9499995120025,5197.633615399462,0.08864235394119307,0.2413350449293966,7.721944787820904,836.7263590923857,837.4691256470761,110.5143772190786,209.9678764263176,511.9499995120025,1030.5567799074056,5197.54497304552,701354.5364120782,820.588903481088,410.294451740544,1.0741031567296349,0.9574814905233974,0.22372001505718372,1
Zosma01g33480.1,2026.5000000000014,1368.9051633454847,15150.697975192885,4.939704778299888,0.23982235381199096,12.244431680236513,2099.345671870166,2100.0659826382725,303.4537724806257,518.6953628328585,1368.9051633454847,2781.280000962668,15145.758270414584,4410277.131434453,2262.5846381298097,1131.2923190649049,1.0359465442241127,0.9397139958404892,0.24587072207369048,1
Zosma02g04170.1,469.9999999999997,279.33696032250907,4597.23297528998,0.9482909460749207,0.23829787234042568,5.979784479338849,625.9424893710283,626.8760357352196,82.30879004078547,124.79604552316842,279.33696032250907,551.5741897526607,4596.284684343905,392973.56417910435,426.7781442294923,213.38907211474614,1.3317925305766567,0.9138045886727217,0.21940071777791859,1
Zosma07g00310.1,3686.7499999999955,2476.0781458293945,58052.99999999999,2.1476321398365625,0.22594425984946118,15.478451753299115,4019.02016976775,4019.8245368667212,624.7589614855314,1081.425227488724,2476.0781458293945,5066.607727190558,58050.852367860156,16158989.307195751,3985.182499701834,1992.591249850917,1.090125495291993,0.903706726787014,0.2523033956614688,1
Zosma03g13750.1,621.2499999999993,365.6983595430446,9031.039534477137,9.34277096065074,0.25593561368209283,7.3880335447299785,837.7462324594482,838.6257563053111,88.20427177230182,169.12755745203813,365.6983595430446,765.7279243961634,9021.696763516486,703293.1591386552,596.6003669441253,298.30018347206266,1.3484848812224532,0.9151398020855614,0.20581453869344554,1
Zosma01g12610.1,1677.7500000000007,1131.845627370158,24271.000000000015,3.139566199222355,0.22232156161525843,10.315459733747721,1880.8715732340693,1881.712562130658,287.1537674358281,492.5661212536871,1131.845627370158,2227.52172506216,24267.860433800794,3540842.166480325,1734.955603808473,867.4778019042365,1.1210678427859149,0.8707203305080307,0.24258404184136137,1
Zosma05g04510.1,3276.7500000000005,2205.3542895411038,91506.25,2.167270662345418,0.22735942626077665,14.828220841035892,3887.4929742701784,3888.36295144886,484.4919460735951,871.3697068828598,2205.3542895411038,4278.5880410802165,91504.08272933765,15119366.442200089,3407.218334197357,1703.6091670986784,1.1863868083528428,0.8268020425117574,0.23791124818447706,1
Zosma01g20760.1,317.25000000000006,214.2533974254197,1636.867503295064,0.4988839152648385,0.24901497241922768,5.078227505235479,322.41704359416235,323.09940847088734,39.552087473552106,74.93355555338142,214.2533974254197,471.5535478321686,1636.3686193797992,104393.2277542373,396.61999227878715,198.30999613939358,1.016286977444168,0.9583544476410414,0.26471201791708815,1
Zosma04g12140.1,984.7499999999989,701.0593694342491,6887.534416783611,1.7924458113378257,0.2528560548362532,8.994382009683184,1021.3254256112493,1022.0097308308118,158.9332738309448,286.2215552580083,701.0593694342491,1263.8511843986503,6885.7419709722735,1044503.8899128684,977.629629140642,488.814814570321,1.0371418386506732,0.8333013849996874,0.2125846834026695,1
Zosma01g29400.1,951.4999999999983,651.5569848200616,7706.045892263137,0.7988388260526239,0.24592748292170302,8.567700016154111,972.7791373174075,973.4727410685024,160.94004604504337,272.0937221623011,651.5569848200616,1309.6313573518732,7705.247053437084,947649.1776034235,1037.537635189572,518.768817594786,1.0223637806804091,0.9250085769943946,0.26753579485270557,1
Zosma05g13890.1,3256.000000000001,2178.0697231414433,33067.0,1.5342895907517176,0.2309582309582309,15.037317516966862,3529.881159472653,3530.663751469736,489.3086303248451,872.9667698794756,2178.0697231414433,4407.906037227175,33065.46571040925,12465586.52594235,3534.9392673476996,1767.4696336738498,1.0841158352188736,0.9161188959287189,0.2427169788400939,1
Zosma04g18730.1,2470.749999999997,1620.559446840799,39402.25,8.714567981132173,0.23353232824041312,13.189462406921042,2651.1141290031246,2651.8802362663355,414.09490179618547,674.8109634631423,1620.559446840799,3399.2614346745013,39393.53543201887,7032468.787499995,2724.450471211359,1362.2252356056795,1.07299974866058,0.9620753899556421,0.24359278655890687,1
Zosma04g01940.1,1383.4999999999989,919.0523780603125,13273.0,11.854955412349412,0.2500903505601737,10.510563672072742,1445.5411616415495,1446.2379759320268,229.85228663527428,397.21528105647496,919.0523780603125,1985.5063449557836,13261.14504458765,2091604.2830279653,1588.2910638993085,794.1455319496542,1.0448436296650168,0.9638901352603378,0.26789547310969064,1
Zosma01g40610.1,1854.5000000000005,1232.9967524378503,15810.859993487848,0.07362113334966522,0.2404960905904556,11.689842066112972,1907.4250312921868,1908.1382207100014,325.4183540765798,566.3206423334902,1232.9967524378503,2656.2560211329287,15810.786372354498,3640991.4693343304,2089.9353787994387,1044.9676893997193,1.0285387065474179,0.9775009303633478,0.26932015901286566,1
Zosma03g36970.1,301.24999999999983,217.92630345300356,2372.166551813504,1.3864196898587637,0.26224066390041506,5.065184546531609,305.62354294131205,306.2703659779561,64.07625081940546,98.46308077156945,217.92630345300356,433.5271470730664,2370.780132123645,93801.53707627117,335.06406630149695,167.53203315074848,1.0145179848674264,0.8179052151391033,0.2725780344109769,1
Zosma01g26660.1,3501.999999999993,2268.1314482637576,70824.99999999999,1.587701776389555,0.2352941176470593,15.955865644656118,4143.132269189579,4143.970535716961,501.7967059382662,921.0100541146932,2268.1314482637576,4524.3357278009225,70823.4122982236,17172491.800890323,3603.3256736862295,1801.6628368431147,1.1830760334636172,0.8934316875991898,0.22734266674980663,1
Zosma03g09480.1,888.7499999999995,553.4595240001315,5173.863791942311,3.255164770843295,0.2711673699015473,9.245164341675611,952.2678851037664,952.9271222094491,136.9100462055499,258.587508902804,553.4595240001315,1196.642051297744,5170.608627171468,908070.1002423823,938.05454239494,469.02727119747,1.0714687877398221,1.0562904028733433,0.24198591698745897,1
Zosma05g06120.1,905.9999999999997,603.4142658305477,6030.180938512141,2.983046418853326,0.23841059602649015,8.163213467185107,965.2854500094778,966.0311321987119,148.97313019626597,262.96839740205667,603.4142658305477,1148.135669268274,6027.197892093288,933216.1483771253,885.1672718662172,442.5836359331086,1.065436479039159,0.9404028647685955,0.20959933153871335,1
Zosma03g26240.1,1913.7499999999968,1347.6973452755922,21733.000000000004,0.25,0.25760940561724405,12.801248831667777,2031.187922128329,2031.8749466438755,299.5933109320813,497.3622129780335,1347.6973452755922,2625.8269701180825,21732.750000000004,4128515.7987990524,2128.464757140049,1064.2323785700246,1.0613653414125839,0.8360417791347646,0.2526630999976474,1
Zosma01g32790.1,2682.2499999999986,1746.0021526147477,52190.99999999999,1.8514591572154078,0.23972411221921905,14.15485648331823,3212.9423430867846,3213.7754670066824,398.06575521670345,713.421978242183,1746.0021526147477,3619.2906518271584,52189.148540842776,10328352.752334021,2905.8686735849756,1452.9343367924878,1.1978534227185333,0.8741966839832227,0.25087080821651764,1
Zosma02g00630.1,1489.0000000000014,920.0066368949141,9747.596818243537,0.1994575578224849,0.24445936870382784,10.704280683301906,1563.9856137445765,1564.702216583436,252.50284151662444,468.53782509829136,920.0066368949141,1971.4408521456728,9747.397360685714,2448293.026581118,1502.9030270473813,751.4515135236907,1.0503597137304064,1.0914295338230897,0.21777250037874926,1
Zosma06g17560.1,3523.000000000001,2323.707555162544,39601.0,4.262397616404274,0.23275617371558324,15.700767114025847,3740.4593300823353,3741.219817907635,525.0743810411932,988.1677427191512,2323.707555162544,4779.014501583847,39596.7376023836,13996725.725904835,3790.846758864696,1895.423379432348,1.061725611717949,0.9618811533590914,0.23765785402091036,1
Zosma03g36840.1,1135.5000000000007,791.8204027799721,7394.425299837871,2.3979082384802144,0.22721268163804478,8.671349268918176,1168.5380823918406,1169.2936842052898,167.3599949281473,323.03450783901707,791.8204027799721,1550.7770615708912,7392.02739159939,1367247.71992238,1227.742553731874,613.871276865937,1.029095625179956,0.882332212528057,0.25467525519730955,1
Zosma04g07790.1,647.0000000000002,451.21379660505113,3844.0,6.5368261006621085,0.2163833075734157,6.178282978706245,624.9647990087121,625.7101359450267,107.60013702856806,179.84737886499724,451.21379660505113,897.3492866367607,3837.463173899338,391513.17422434373,717.5019077717634,358.7509538858817,0.9659425023318576,0.9398267088266189,0.24076361199844332,1
Zosma01g30220.1,345.5000000000001,220.72829534477248,2297.6649649086694,3.4649819238340394,0.260492040520984,5.538874603891145,378.7495874585212,379.4529299166167,46.66810255831218,84.22120129141689,220.72829534477248,510.32448480135076,2294.1999829848355,143984.52602230484,426.1032835099339,213.05164175496694,1.0962361431505676,0.9882918064080428,0.3007851485946918,1
Zosma05g14820.1,1754.2500000000011,1242.1726475561588,14409.994999255568,3.3859024268315276,0.2570899244691462,12.137487279914795,1806.8670399340403,1807.5351364774606,297.53595846700114,546.7838571730823,1242.1726475561588,2428.915431278786,14406.609096828737,3267183.269600592,1882.1315741057037,941.0657870528519,1.0299940373002932,0.850218651056697,0.24513426774105,1
Zosma01g42610.1,475.0000000000003,336.4989540443062,3586.1116727178687,5.0478474810924325,0.22736842105263144,5.64682251082661,520.4152188397261,521.2201925905084,69.28493810673909,121.13414441951237,336.4989540443062,626.7543062169956,3581.063825236776,271670.4891640867,505.6201617974832,252.8100808987416,1.0956109870310016,0.7984069697144005,0.26242530073833886,1
Zosma06g00520.1,1431.4999999999995,918.6345445687939,11692.0,5.508674959462694,0.2528815927348935,10.89696116854834,1533.4611993787128,1534.1677007750432,212.50202090809495,381.1529583909626,918.6345445687939,1965.0273458935692,11686.491325040537,2353670.5341013824,1583.8743875026066,791.9371937513033,1.0712268245747212,1.003348742646364,0.24727206744652427,1
Zosma01g01910.1,711.2500000000001,457.6493362224059,5330.397409506861,5.570033151360188,0.2572934973637961,7.794798735604018,784.3667828254839,785.0821197574007,119.11214489717565,224.64825466112242,457.6493362224059,939.0000000000001,5324.827376355501,616353.9347627737,714.3517453388777,357.17587266943883,1.1028003976456715,0.969956923203944,0.25819102819618855,1
Zosma04g16680.1,1466.999999999998,1005.7272203544724,14262.211080028354,2.629922267097011,0.24812542603953683,10.72844664084275,1491.9768764964156,1492.660485639501,221.44285447477665,405.9589425322022,1005.7272203544724,2068.187986104897,14259.581157761257,2228035.325389551,1662.2290435726948,831.1145217863474,1.017025819015963,0.9275065590736059,0.26051036314657294,1
